Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Nov 5, 1955",New York Knicks,100,Rochester Royals,98,Box Score,OT,,,Rochester Community War Memorial,
"Sat, Nov 5, 1955",Minneapolis Lakers,89,St. Louis Hawks,101,Box Score,,,,Kiel Auditorium,
"Sat, Nov 5, 1955",Fort Wayne Pistons,113,Syracuse Nationals,114,Box Score,OT,,,Onondaga War Memorial,
"Sat, Nov 5, 1955",Philadelphia Warriors,87,Boston Celtics,98,Box Score,,9594.0,,Boston Garden,
"Sun, Nov 6, 1955",Minneapolis Lakers,96,Fort Wayne Pistons,95,Box Score,,,,War Memorial Coliseum,
"Sun, Nov 6, 1955",Syracuse Nationals,80,Rochester Royals,83,Box Score,,,,Rochester Community War Memorial,
"Wed, Nov 9, 1955",Minneapolis Lakers,106,Philadelphia Warriors,117,Box Score,,,,Lincoln High School,
"Thu, Nov 10, 1955",Minneapolis Lakers,105,New York Knicks,112,Box Score,,,,Madison Square Garden (III),
"Thu, Nov 10, 1955",Rochester Royals,84,Philadelphia Warriors,89,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Fri, Nov 11, 1955",Minneapolis Lakers,75,Boston Celtics,119,Box Score,,13909.0,,Boston Garden,
"Sat, Nov 12, 1955",Philadelphia Warriors,100,Minneapolis Lakers,89,Box Score,,,,Hershey Sports Arena,"at Hershey, PA"
"Sat, Nov 12, 1955",Syracuse Nationals,91,St. Louis Hawks,81,Box Score,,,,Kiel Auditorium,
"Sat, Nov 12, 1955",Boston Celtics,95,New York Knicks,96,Box Score,,10021.0,,Madison Square Garden (III),
"Sat, Nov 12, 1955",Rochester Royals,84,Fort Wayne Pistons,79,Box Score,,,,Kiel Auditorium,"at St. Louis, MO"
"Sun, Nov 13, 1955",Syracuse Nationals,79,Fort Wayne Pistons,93,Box Score,,,,War Memorial Coliseum,
"Sun, Nov 13, 1955",Rochester Royals,91,New York Knicks,94,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Tue, Nov 15, 1955",New York Knicks,95,St. Louis Hawks,121,Box Score,,,,Kiel Auditorium,
"Thu, Nov 17, 1955",New York Knicks,110,Fort Wayne Pistons,88,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Thu, Nov 17, 1955",Boston Celtics,92,Philadelphia Warriors,106,Box Score,,6157.0,,Convention Hall,
"Thu, Nov 17, 1955",Minneapolis Lakers,91,Syracuse Nationals,105,Box Score,,,,Onondaga War Memorial,
"Sat, Nov 19, 1955",Minneapolis Lakers,91,Rochester Royals,90,Box Score,,,,Rochester Community War Memorial,
"Sat, Nov 19, 1955",Syracuse Nationals,94,Philadelphia Warriors,102,Box Score,,,,Convention Hall,
"Sat, Nov 19, 1955",Fort Wayne Pistons,102,Boston Celtics,104,Box Score,,6485.0,,Boston Garden,
"Sat, Nov 19, 1955",St. Louis Hawks,104,New York Knicks,91,Box Score,,,,Madison Square Garden (III),
"Sun, Nov 20, 1955",New York Knicks,119,Fort Wayne Pistons,115,Box Score,OT,,,War Memorial Coliseum,
"Sun, Nov 20, 1955",Rochester Royals,104,Minneapolis Lakers,96,Box Score,,,,Minneapolis Auditorium,
"Sun, Nov 20, 1955",St. Louis Hawks,80,Syracuse Nationals,84,Box Score,,,,Onondaga War Memorial,
"Wed, Nov 23, 1955",New York Knicks,115,Boston Celtics,111,Box Score,OT,11195.0,,Boston Garden,
